INSTRUMENTO|CLASS_NAME|FUND_NAME|GROUP_NAME|GROUP_CODE|SERIE_GROUP|SERIE_RANGE|LOCAL_SHAREHOLDER_GROUP|FOREIGN_CUSTOMERS|PHYSICAL_PERSONS|MORAL_PERSONS|MORAL_EXEMPT_SHAREHOLDERS|MORAL_TAXABLE_SHAREHOLDERS|PHYSICAL_EXEMPT_SHAREHOLDERS|PHYSICAL_TAXABLE_SHAREHOLDERS|ISR|BUY|SELL|MIN_FIRST_BUY|MIN_SUBSEQUENT_BUY|MIN_INVESTMENT|MAX_INVESTMENT|INSTRUMENT_OID|FUND_SHARE_OID|FUND_SERIE_OID|FUND_OID|QUALIFIER|SOURCE_CODE|NAME|MARKET_TYPE|IS_DEFAULT|INSTRUMENT_SHORT_NAME|INSTRUMENT_OID_1|DATE_|BID|AVERAGE|OFFER|ACTUALIZED|QUALIFIER_1
ACTVIDA-M|M|ACTVIDA|PM, Fideicomisos, Distribuidoras|M|M|0|1|1|0|1|1|1|0|0|0|1|1||0|||514465|500445|500311|500084||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTVIDA-M|514465|2020-04-30 00.00.00.000000000|8.94201|8.94201|8.94201|1|
ACTVIDA-A|A|ACTVIDA|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514466|500446|500312|500084||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTVIDA-A|514466|2020-04-30 00.00.00.000000000|2.971254|2.971254|2.971254|1|
ACTVIDA-C|C|ACTVIDA|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514467|500447|500313|500084||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTVIDA-C|514467|2020-04-30 00.00.00.000000000|7.745863|7.745863|7.745863|1|
ACTIVAR-A|A|ACTIVAR|SERIE DE CAPITAL INICIAL|A|A|0|1|0|0|1|0|1|0|0|1|0|0||0|||514468|500448|500314|500085||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIVAR-A|514468|2020-04-30 00.00.00.000000000|2.46799|2.46799|2.46799|1|
ACTIVAR-E|E|ACTIVAR|Exentas|E|E|0|1|1|1|1|1|1|1|1|0|1|1||0|||514469|500449|500315|500085||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIVAR-E|514469|2020-04-30 00.00.00.000000000|6.06247|6.06247|6.06247|1|
ACTIVAR-C|C|ACTIVAR|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|1|1||0|||514470|500450|500316|500085||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIVAR-C|514470|2020-04-30 00.00.00.000000000|8.469654|8.469654|8.469654|1|
ACTIVAR-B|B|ACTIVAR|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514471|500451|500317|500085||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIVAR-B|514471|2020-04-30 00.00.00.000000000|5.452178|5.452178|5.452178|1|
ACTIVAR-M|M|ACTIVAR|PM, Fideicomisos, Distribuidoras|M|M|0|1|1|0|1|1|1|0|0|0|1|1||0|||514472|500452|500318|500085||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|ACTIVAR-M|514472|2020-04-30 00.00.00.000000000|8.689695|8.689695|8.689695|1|
ACTIVAR-FF|FF|ACTIVAR|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|1|1||0|||514473|500453|500319|500085||Oper|Oper|PRICE_TYPE_NONSENSE|1|ACTIVAR-FF|514473|2020-04-30 00.00.00.000000000|5.008348|5.008348|5.008348|1|
AGOB+-CE|CE|AGOB+|PM No Contribuyentes|CE|CE|0|1|1|0|1|1|0|0|0|1|0|0||0|||514489|500469|500331|500088||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|AGOB+-CE|514489|2020-04-30 00.00.00.000000000|9.23811|9.23811|9.23811|1|
AGOB+-FF|FF|AGOB+|Fondo de Fondos|FF|FF|0|1|0|0|1|0|1|0|0|0|0|0||0|||514490|500470|500332|500088||Oper|Oper|PRICE_TYPE_NONSENSE|1|AGOB+-FF|514490|2020-04-30 00.00.00.000000000|2.457932|2.457932|2.457932|1|
AGOB+-C|C|AGOB+|Gestión de Inversión|C|C|0|1|1|1|1|1|1|1|1|0|0|0||0|||514491|500471|500333|500088||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|AGOB+-C|514491|2020-04-30 00.00.00.000000000|10.802414|10.802414|10.802414|1|
+VALOR-I|I|+VALOR|PF, PM Fideicomisos|I|I|0|1|1|1|1|0|1|1|1|1|1|1||0|||514457|500437|500303|500083||Oper|Oper|PRICE_TYPE_NONSENSE|1|+VALOR-I|514457|2020-04-30 00.00.00.000000000|6.881059|6.881059|6.881059|1|
IMPULSA-D|D|IMPULSA|DISTRIBUIDORAS|D|D|0|1|0|1|1|1|1|1|1|0|1|1||0|||514690|500670|500453|500111||Oper|Oper|PRICE_TYPE_NONSENSE|1|IMPULSA-D|514690|2020-04-30 00.00.00.000000000|5.471153|5.471153|5.471153|1|
IMPULSA-E|E|IMPULSA|Exentas|E|E|0|1|1|1|1|1|0|1|0|1|1|1||0|||514691|500671|500454|500111||Oper|Oper|PRICE_TYPE_NONSENSE|1|IMPULSA-E|514691|2020-04-30 00.00.00.000000000|1.411032|1.411032|1.411032|1|
IMPULSA-B|B|IMPULSA|PF, Fideicomisos, Distribuidores|B|B|0|1|1|1|0|0|0|1|1|0|1|1||0|||514692|500672|500455|500111||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|IMPULSA-B|514692|2020-04-30 00.00.00.000000000|10.309824|10.309824|10.309824|1|
IMPULSA-C|C|IMPULSA|C|C|C|0|1|0|1|1|1|1|1|1|0|1|1||0|||514689|500669|500452|500111||Fondo|Fondo|PRICE_TYPE_NONSENSE|1|IMPULSA-C|514689|2020-04-30 00.00.00.000000000|2.962164|2.962164|2.962164|1|
