"INSTRUMENTO","CLASS_NAME","FUND_NAME","GROUP_NAME","GROUP_CODE","SERIE_GROUP","SERIE_RANGE","LOCAL_SHAREHOLDER_GROUP","FOREIGN_CUSTOMERS","PHYSICAL_PERSONS","MORAL_PERSONS","MORAL_EXEMPT_SHAREHOLDERS","MORAL_TAXABLE_SHAREHOLDERS","PHYSICAL_EXEMPT_SHAREHOLDERS","PHYSICAL_TAXABLE_SHAREHOLDERS","ISR","BUY","SELL","MIN_FIRST_BUY","MIN_SUBSEQUENT_BUY","MIN_INVESTMENT","MAX_INVESTMENT","INSTRUMENT_OID","FUND_SHARE_OID","FUND_SERIE_OID","FUND_OID","QUALIFIER"
"ACTIREN-E","E","ACTIREN","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514316,500296,500184,500063,""
"ACTIREN-FF","FF","ACTIREN","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514317,500297,500185,500063,""
"ACTIREN-A","A","ACTIREN","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514318,500298,500186,500063,""
"ACTIREN-M","M","ACTIREN","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514319,500299,500187,500063,""
"ACTIREN-CE","CE","ACTIREN","PM No Contribuyentes","CE","CE",0,1,1,0,1,1,0,0,0,1,1,1,,0,,,514320,500300,500188,500063,""
"ACTIREN-B","B","ACTIREN","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514321,500301,500189,500063,""
"ACTIREN-C","C","ACTIREN","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514322,500302,500190,500063,""
"ACTIMED-B","B","ACTIMED","Persona Fisicas","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514323,500303,500191,500064,""
"ACTIMED-C","C","ACTIMED","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514324,500304,500192,500064,""
"ACTIMED-E","E","ACTIMED","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514325,500305,500193,500064,""
"ACTIMED-A","A","ACTIMED","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514326,500306,500194,500064,""
"ACTIMED-FF","FF","ACTIMED","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514327,500307,500195,500064,""
"ACTIMED-M","M","ACTIMED","Personas Morales","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514328,500308,500196,500064,""
"ACTIMED-CE","CE","ACTIMED","Personas Morales No Contribuyentes","CE","CE",0,1,0,0,1,1,0,0,0,1,1,1,,0,,,514329,500309,500197,500064,""
"ALTERNA-B","B","ALTERNA","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514330,500310,500198,500065,""
"ALTERNA-CE","CE","ALTERNA","PM No Contribuyentes","CE","CE",0,1,1,0,1,1,0,0,0,1,1,1,,0,,,514331,500311,500199,500065,""
"ALTERNA-E","E","ALTERNA","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514332,500312,500200,500065,""
"ALTERNA-C","C","ALTERNA","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514333,500313,500201,500065,""
"ALTERNA-FF","FF","ALTERNA","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514334,500314,500202,500065,""
"ALTERNA-M","M","ALTERNA","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514335,500315,500203,500065,""
"ALTERNA-A","A","ALTERNA","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514336,500316,500204,500065,""
"ESCALA-FF","FF","ESCALA","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514337,500317,500205,500066,""
"ESCALA-C","C","ESCALA","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514338,500318,500206,500066,""
"ESCALA-E","E","ESCALA","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514339,500319,500207,500066,""
"ESCALA-M","M","ESCALA","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514340,500320,500208,500066,""
"ESCALA-A","A","ESCALA","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514341,500321,500209,500066,""
"ESCALA-B","B","ESCALA","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514342,500322,500210,500066,""
"SALUD-A","A","SALUD","Serie de Capital Inicial","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514343,500323,500211,500067,""
"SALUD-C","C","SALUD","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514344,500324,500212,500067,""
"SALUD-E","E","SALUD","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514345,500325,500213,500067,""
"SALUD-M","M","SALUD","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514346,500326,500214,500067,""
"SALUD-B","B","SALUD","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,0,1,1,,0,,,514347,500327,500215,500067,""
"SALUD-FF","FF","SALUD","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514348,500328,500216,500067,""
"ACTIG+2-FF","FF","ACTIG+2","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,1,1,1,,0,,,514349,500329,500217,500068,""
"ACTIG+2-E","E","ACTIG+2","Exentas","E","E",0,1,1,1,1,1,0,1,0,0,1,1,,0,,,514350,500330,500218,500068,""
"ACTIG+2-C","C","ACTIG+2","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,1,1,1,,0,,,514351,500331,500219,500068,""
"ACTIG+2-B","B","ACTIG+2","PF, Fideicomisos, Distribuidores","B","B",0,1,1,1,0,0,0,1,1,1,1,1,,0,,,514352,500332,500220,500068,""
"ACTIG+2-A","A","ACTIG+2","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514353,500333,500221,500068,""
"ACTIG+2-M","M","ACTIG+2","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,1,1,1,,0,,,514354,500334,500222,500068,""
"ACTPT10-C","C","ACTPT10","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514355,500335,500223,500069,""
"ACTPT10-FF","FF","ACTPT10","Fondo de Fondos","FF","FF",0,1,0,0,1,0,1,0,0,0,1,1,,0,,,514356,500336,500224,500069,""
"ACTPT10-E","E","ACTPT10","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514357,500337,500225,500069,""
"ACTPT10-B-1","B-1","ACTPT10","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,0,99999.99,514359,500338,500226,500069,""
"ACTPT10-B-3","B-3","ACTPT10","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,1000000,,514360,500339,500226,500069,""
"ACTPT10-B-2","B-2","ACTPT10","PF, Fideicomisos, Distribuidores","B","B",1,1,1,1,0,0,0,1,1,0,1,1,0.01,0,100000,999999.99,514358,500340,500226,500069,""
"ACTPT10-M-3","M-3","ACTPT10","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,3000000,,514363,500341,500227,500069,""
"ACTPT10-M-2","M-2","ACTPT10","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,1000000,2999999.99,514361,500342,500227,500069,""
"ACTPT10-M-1","M-1","ACTPT10","PM, Fideicomisos, Distribuidoras","M","M",1,1,1,0,1,1,1,0,0,0,1,1,10000,0,0,999999.99,514362,500343,500227,500069,""
"ACTPT10-A","A","ACTPT10","SERIE DE CAPITAL INICIAL","A","A",0,1,0,0,1,0,1,0,0,1,0,0,,0,,,514364,500344,500228,500069,""
"ESFERA-C","C","ESFERA","Gestión de Inversión","C","C",0,1,1,1,1,1,1,1,1,0,1,1,,0,,,514365,500345,500229,500070,""
"ESFERA-E","E","ESFERA","Exentas","E","E",0,1,1,1,1,1,0,1,0,1,1,1,,0,,,514366,500346,500230,500070,""
"ESFERA-M","M","ESFERA","PM, Fideicomisos, Distribuidoras","M","M",0,1,1,0,1,1,1,0,0,0,1,1,,0,,,514367,500347,500231,500070,""
